COUNT,RAW,SKF,TIMETAKEN
450,608.73,609.39,1
451,608.79,609.39,1
452,608.79,609.38,1
453,608.66,609.37,1
454,608.66,609.37,1
455,608.66,609.36,1
456,608.9,609.35,1
457,608.9,609.35,1
458,608.92,609.34,1
459,608.92,609.34,1
460,608.89,609.33,1
461,608.89,609.33,1
462,608.89,609.33,1
463,608.98,609.32,1
464,608.98,609.32,1
465,608.91,609.31,1
466,608.91,609.31,1
467,608.91,609.31,1
468,626.6,609.48,1
469,626.6,609.67,1
470,609.15,609.67,1
471,609.15,609.66,1
472,609.15,609.65,1
473,608.99,609.64,1
474,608.99,609.64,1
475,608.91,609.63,1
476,608.91,609.62,1
477,608.91,609.61,1
478,609.03,609.6,1
479,609.03,609.59,1
480,608.94,609.59,1
481,608.94,609.58,1
482,608.98,609.57,1
483,608.98,609.56,1
484,608.98,609.56,1
485,608.95,609.55,1
486,608.95,609.54,1
487,609.14,609.54,1
488,609.14,609.53,1
489,609.14,609.53,1
490,608.82,609.52,1
491,608.82,609.51,1
492,618.91,609.62,1
493,618.91,609.74,1
494,618.91,609.86,1
495,608.82,609.84,1
496,608.82,609.83,1
497,608.9,609.81,1
498,608.9,609.8,1
499,608.9,609.79,1
500,608.71,609.77,1
501,608.71,609.76,1
502,608.87,609.75,1
503,608.87,609.73,1
504,608.96,609.72,1
505,608.96,609.71,1
506,608.96,609.7,1
507,608.9,609.69,1
508,608.9,609.68,1
509,608.8,609.67,1
510,608.8,609.66,1
511,608.8,609.65,1
512,608.83,609.64,1
513,608.83,609.62,1
514,608.89,609.62,1
515,608.89,609.61,1
516,608.89,609.6,1
517,608.38,609.58,1
518,608.38,609.57,1
519,608.89,609.56,1
520,608.89,609.55,1
521,608.59,609.54,1
522,608.59,609.52,1
523,608.59,609.51,1
524,608.99,609.51,1
525,608.99,609.5,1
526,608.86,609.49,1
527,608.86,609.48,1
528,608.86,609.48,1
529,608.72,609.47,1
530,608.72,609.46,1
531,608.89,609.45,1
532,608.89,609.44,1
533,608.89,609.44,1
534,608.82,609.43,1
535,608.82,609.42,1
536,608.99,609.42,1
537,608.99,609.41,1
538,608.99,609.41,1
539,609.12,609.41,1
540,609.12,609.4,1
541,608.98,609.4,1
542,608.98,609.39,1
543,623.85,609.55,1
544,623.85,609.73,1
545,623.85,609.93,1
546,609.11,609.92,1
547,609.11,609.91,1
548,609.11,609.89,2
549,609.11,609.88,1
550,609.11,609.87,1
551,609.13,609.86,1
552,609.13,609.85,1
553,608.82,609.83,1
554,608.82,609.82,1
555,608.82,609.8,1
556,608.9,609.79,1
557,608.9,609.77,1
558,608.8,609.76,1
559,608.8,609.75,1
560,608.87,609.73,1
561,608.87,609.72,1
562,608.87,609.71,1
563,608.67,609.69,1
564,608.67,609.68,1
565,609.14,609.67,1
566,609.14,609.66,1
567,609.14,609.66,1
568,622.02,609.83,1
569,622.02,610.01,1
570,608.84,609.99,1
571,608.84,609.97,1
572,608.84,609.96,1
573,608.74,609.94,1
574,608.74,609.92,1
575,609.19,609.9,1
576,609.19,609.89,1
577,609.19,609.88,1
578,608.79,609.86,1
579,608.79,609.85,1
580,608.94,609.83,1
581,608.94,609.82,1
582,608.89,609.8,1
583,608.89,609.79,1
584,608.89,609.78,1
585,608.97,609.76,1
586,608.97,609.75,1
587,608.96,609.74,1
588,608.96,609.73,1
589,608.96,609.72,1
590,608.94,609.71,1
591,608.94,609.69,1
592,621.12,609.86,1
593,621.12,610.04,1
594,621.12,610.23,1
595,608.97,610.21,1
596,608.97,610.18,1
597,608.77,610.16,1
598,608.77,610.13,1
599,608.77,610.11,1
600,609.25,610.09,1
601,609.25,610.08,1
602,608.83,610.05,1
603,608.83,610.03,1
604,608.74,610.01,1
605,608.74,609.99,1
606,608.74,609.96,1
607,608.63,609.94,1
608,608.63,609.92,1
609,608.69,609.9,1
610,608.69,609.88,1
611,608.69,609.85,1
612,608.71,609.84,1
613,608.71,609.82,1
614,608.68,609.8,1
615,608.68,609.78,1
616,608.68,609.76,1
617,608.6,609.74,1
618,608.6,609.72,1
619,616.21,609.83,1
620,616.21,609.94,1
621,609.14,609.92,1
622,609.14,609.91,1
623,609.14,609.9,1
624,608.81,609.88,1
625,608.81,609.86,1
626,608.57,609.84,1
627,608.57,609.81,1
