RAW,SKF,TIMETAKEN,,RAW,SKF
609.27,610.89,1,,,
609.27,610.86,1,,,
616.06,610.96,1,,,
616.06,611.07,1,,,
616.06,611.18,1,,,
609.67,611.15,1,,,
609.67,611.11,1,,,
614.14,611.18,1,,,
614.14,611.25,2,,,
608.91,611.2,2,,,
608.91,611.14,1,,,
608.91,611.09,1,,,
612.42,611.12,1,,,
612.42,611.15,1,,,
609,611.1,2,,,
609,611.06,1,,,
609,611.01,1,,,
609.19,610.97,1,,,
609.19,610.93,1,,,
615.72,611.04,1,,,
615.72,611.14,1,,,
615.72,611.25,1,,,
609.13,611.2,1,,,
609.13,611.15,1,,,
609.33,611.11,1,,,
609.33,611.07,1,,,
611.74,611.08,1,,,
611.74,611.1,1,,,
611.74,611.11,1,,,
609.45,611.07,1,,,
609.45,611.04,1,,,
609.48,611.01,1,,,
609.48,610.97,1,,,
609.48,610.94,1,,,
612.48,610.97,1,,,
612.48,611.01,1,,,
616.25,611.12,1,,,
616.25,611.23,1,,,
613.97,611.29,1,,,
613.97,611.35,1,,,
613.97,611.41,1,,,
609.11,611.35,1,,,
609.11,611.3,1,,,
613.02,611.34,1,,,
613.02,611.38,1,,,
613.02,611.42,1,,,
609.22,611.37,1,,,
609.22,611.32,1,,,
609.48,611.28,1,,,
609.48,611.24,1,,,
609.48,611.2,1,,,
616.04,611.31,1,,,
616.04,611.41,1,,,
608.69,611.35,2,,,
608.69,611.29,1,,,
611.3,611.29,1,,,
611.3,611.29,2,,,
611.3,611.29,1,,,
608.96,611.24,1,,,
608.96,611.19,1,,,
614.67,611.27,1,,,
614.67,611.34,1,,,
614.67,611.41,1,,,
609.25,611.36,1,,,
609.25,611.32,1,,,
610.02,611.29,1,,,
610.02,611.26,1,,,
610.02,611.23,1,,,
613.68,611.29,1,,,
613.68,611.34,1,,,
609.32,611.3,1,,,
609.32,611.25,2,,,
609.18,611.21,1,,,
609.18,611.16,1,,,
609.18,611.12,1,,,
612.64,611.15,1,,,
612.64,611.19,1,,,
609.74,611.16,1,,,
609.74,611.13,1,,,
609.74,611.1,1,,,
609,611.05,1,,,
609,611.01,1,,,
609.53,610.98,1,,,
609.53,610.95,1,,,
609.57,610.92,1,,,
609.92,610.9,1,,,
609.92,610.88,1,,,
609.35,610.85,1,,,
609.35,610.82,1,,,
608.94,610.78,1,,,
608.94,610.75,1,,,
608.94,610.71,1,,,
609.7,610.69,1,,,
609.7,610.67,1,,,
609.82,610.66,1,,,
609.82,610.64,1,,,
609.69,610.62,1,,,
609.69,610.61,1,,,
609.69,610.59,2,,,
616.82,610.7,1,,,
616.82,610.82,1,,,
609.82,610.8,1,,,
609.82,610.78,1,,,
609.82,610.76,2,,,
609.79,610.74,1,,,
609.79,610.73,1,,,
609.5,610.7,1,,,
609.5,610.68,1,,,
609.5,610.66,1,,,
609.31,610.63,2,,,
609.31,610.61,1,,,
611.29,610.62,1,,,
611.29,610.63,1,,,
610.78,610.64,1,,,
610.78,610.64,1,,,
610.78,610.64,1,,,
609.57,610.62,1,,,
609.57,610.6,1,,,
615.6,610.69,1,,,
615.6,610.77,1,,,
615.6,610.86,1,,,
609.15,610.83,1,,,
609.15,610.8,1,,,
613.87,610.85,1,,,
613.87,610.91,1,,,
613.87,610.97,1,,,
609.83,610.94,1,,,
609.83,610.92,1,,,
609.63,610.9,1,,,
609.63,610.88,1,,,
609.63,610.85,1,,,
615.52,610.94,1,,,
615.52,611.02,1,,,
609.24,610.99,1,,,
609.24,610.96,1,,,
616,611.05,1,,,
616,611.15,1,,,
616,611.25,1,,,
613.43,611.3,1,,,
613.43,611.34,1,,,
609.39,611.3,1,,,
609.39,611.26,1,,,
609.39,611.22,1,,,
618.19,611.37,1,,,
618.19,611.51,1,,,
609.59,611.47,1,,,
609.59,611.43,2,,,
609.93,611.39,1,,,
609.93,611.36,1,,,
609.93,611.33,1,,,
617.26,611.46,1,,,
617.26,611.59,1,,,
609.92,611.55,1,,,
609.92,611.51,1,,,
609.92,611.48,1,,,
613.47,611.52,1,,,
613.47,611.57,1,,,
609.48,611.52,1,,,
609.48,611.47,1,,,
609.48,611.43,1,,,
618.51,611.59,1,,,
618.51,611.75,1,,,
615.4,611.84,1,,,
615.4,611.93,1,,,
615.4,612.02,1,,,
609.5,611.95,1,,,
609.5,611.89,1,,,
609.93,611.84,1,,,
609.93,611.79,1,,,
609.17,611.73,1,,,
609.17,611.66,1,,,
609.17,611.6,1,,,
609.62,611.55,1,,,
609.62,611.5,1,,,
615.02,611.59,1,,,
615.02,611.68,1,,,
615.02,611.76,1,,,
609.42,611.7,2,,,
609.42,611.64,1,,,
609.84,611.6,1,,,
609.84,611.55,1,,,
609.84,611.51,1,,,
609.36,611.46,1,,,
609.36,611.41,1,,,
612.97,611.45,1,,,
612.97,611.48,1,,,
609.13,611.43,2,,,
609.09,611.37,1,,,
609.09,611.32,2,,,
619.29,611.51,1,,,
619.29,611.7,1,,,
619.29,611.9,1,,,
617.38,612.05,1,,,
617.38,612.21,1,,,
609.07,612.11,2,,,
609.07,612.03,1,,,
615.25,612.12,1,,,
615.25,612.21,1,,,
615.25,612.3,1,,,
609.34,612.21,1,,,
609.34,612.13,1,,,
609.57,612.05,1,,,
609.57,611.98,1,,,
609.57,611.91,1,,,
610.12,611.86,1,,,
610.12,611.81,1,,,
609.26,611.74,1,,,
609.26,611.67,1,,,
609.26,611.6,1,,,
609.18,611.54,1,,,
609.18,611.47,1,,,
613.17,611.52,1,,,
613.17,611.56,1,,,
612.87,611.6,2,,,
612.87,611.63,1,,,
612.87,611.66,1,,,
614.66,611.74,1,,,
614.66,611.82,1,,,
609.17,611.75,1,,,
609.17,611.68,1,,,
609.17,611.62,1,,,
610.29,611.58,1,,,
610.29,611.55,1,,,
609.77,611.5,1,,,
609.77,611.46,1,,,
609.4,611.41,2,,,
609.4,611.36,2,,,
609.4,611.31,1,,,
618.51,611.49,1,,,
618.51,611.67,1,,,
609.01,611.6,1,,,
609.01,611.53,1,,,
609.01,611.46,1,,,
609.25,611.4,1,,,
609.25,611.35,1,,,
612.37,611.37,1,,,
612.37,611.4,1,,,
609.05,611.34,1,,,
609.05,611.28,1,,,
609.05,611.22,1,,,
611.87,611.24,1,,,
611.87,611.26,1,,,
609.72,611.22,1,,,
609.72,611.18,1,,,
609.72,611.15,1,,,
610.15,611.12,1,,,
610.15,611.1,1,,,
617.33,611.24,1,,,
617.33,611.39,1,,,
617.33,611.54,1,,,
609.05,611.47,1,,,
609.05,611.41,1,,,
618.91,611.6,1,,,
618.91,611.8,1,,,
618.91,611.99,1,,,
609.43,611.92,1,,,
609.43,611.85,1,,,
609.68,611.79,1,,,
609.68,611.73,1,,,
617.79,611.9,1,,,
617.79,612.07,1,,,
617.79,612.24,1,,,
610.03,612.17,1,,,
610.03,612.11,1,,,
617.64,612.27,1,,,
617.64,612.44,1,,,
617.64,612.6,1,,,
614.96,612.68,1,,,
614.96,612.75,1,,,
610.3,612.67,1,,,
610.3,612.6,1,,,
610.3,612.53,1,,,
618.03,612.69,1,,,
618.03,612.86,1,,,
609.42,612.75,1,,,
609.42,612.65,1,,,
609.42,612.54,1,,,
609.81,612.45,1,,,
609.81,612.37,1,,,
612.89,612.39,1,,,
612.89,612.4,1,,,
609.78,612.32,1,,,
609.78,612.25,1,,,
609.78,612.17,1,,,
615.87,612.28,1,,,
615.87,612.39,1,,,
610.12,612.32,1,,,
610.12,612.26,1,,,
610.12,612.19,1,,,
621.02,612.45,1,,,
621.02,612.72,1,,,
609.82,612.62,1,,,
609.82,612.53,1,,,
609.82,612.44,1,,,
609.47,612.35,1,,,
609.47,612.26,1,,,
614.64,612.33,1,,,
614.64,612.41,1,,,
614.64,612.48,1,,,
609.48,612.38,2,,,
609.48,612.29,1,,,
609.4,612.21,2,,,
609.4,612.12,1,,,
609.6,612.04,1,,,
609.6,611.97,1,,,
609.77,611.9,1,,,
609.38,611.83,2,,,
609.38,611.75,1,,,
610.24,611.71,1,,,
610.24,611.67,1,,,
615.71,611.78,1,,,
615.71,611.9,2,,,
615.71,612.01,1,,,
613.15,612.04,1,,,
613.15,612.07,1,,,
616.83,612.21,1,,,
616.83,612.34,1,,,
616.83,612.47,1,,,
609.25,612.38,2,,,
609.25,612.28,1,,,
609.02,612.19,1,,,
609.02,612.09,1,,,
609.02,612,1,,,
609.34,611.92,1,,,
609.34,611.84,1,,,
609.58,611.78,1,,,
609.58,611.71,1,,,
609.39,611.64,1,,,
609.39,611.58,1,,,
609.39,611.52,1,,,
609.27,611.45,1,,,
609.27,611.39,1,,,
609.8,611.35,1,,,
609.8,611.3,1,,,
609.8,611.26,1,,,
609.21,611.21,2,,,
609.21,611.15,1,,,
609.13,611.1,1,,,
609.13,611.04,2,,,
609.4,611,1,,,
609.4,610.96,1,,,
609.4,610.92,1,,,
612.56,610.96,1,,,
612.56,611,2,,,
609.82,610.97,1,,,
609.82,610.94,1,,,
609.82,610.92,1,,,
612.34,610.95,1,,,
612.34,610.98,2,,,
609.04,610.94,1,,,
609.04,610.89,1,,,
613.4,610.95,1,,,
613.4,611.01,1,,,
613.4,611.07,2,,,
609.42,611.03,1,,,
609.42,610.99,1,,,
609.63,610.96,1,,,
609.63,610.93,1,,,
609.63,610.9,1,,,
614.8,610.99,1,,,
614.8,611.07,1,,,
609.2,611.03,1,,,
609.2,610.99,1,,,
609.2,610.95,1,,,
609.61,610.92,1,,,
609.61,610.89,1,,,
609.16,610.85,1,,,
609.16,610.81,1,,,
609.98,610.79,1,,,
609.98,610.77,1,,,
609.98,610.76,1,,,
614.97,610.85,1,,,
614.97,610.94,1,,,
609.15,610.9,1,,,
609.15,610.86,1,,,
609.15,610.82,1,,,
609.87,610.8,1,,,
609.87,610.78,1,,,
609.77,610.76,1,,,
609.77,610.74,1,,,
609.77,610.72,1,,,
609.08,610.68,1,,,
609.08,610.65,1,,,
615.6,610.75,1,,,
615.6,610.85,1,,,
615.6,610.95,1,,,
609.51,610.92,1,,,
609.51,610.89,1,,,
617.64,611.04,1,,,
617.64,611.19,1,,,
609.12,611.14,1,,,
609.12,611.09,1,,,
609.12,611.05,1,,,
609.15,611,1,,,
609.15,610.96,1,,,
613.93,611.03,1,,,
613.93,611.09,1,,,
613.93,611.16,1,,,
609.54,611.12,2,,,
609.54,611.09,1,,,
609.47,611.05,1,,,
609.47,611.01,1,,,
609.47,610.98,1,,,
610.92,610.98,1,,,
610.92,610.97,1,,,
