RAW,SKF
617.27,610.43
607.64,610.38
607.64,610.33
608.90,610.30
608.90,610.27
608.90,610.25
608.90,610.22
608.90,610.20
608.69,610.17
608.69,610.14
617.01,610.27
617.01,610.40
617.01,610.53
607.66,610.47
607.66,610.41
609.08,610.38
609.08,610.36
609.08,610.33
612.52,610.37
612.52,610.42
609.01,610.39
609.01,610.36
609.92,610.35
609.92,610.34
609.92,610.34
611.76,610.36
611.76,610.39
609.56,610.37
609.56,610.36
609.56,610.34
615.86,610.45
615.86,610.55
607.75,610.50
607.75,610.44
607.75,610.39
614.88,610.48
614.88,610.57
609.80,610.55
609.80,610.54
608.51,610.49
608.51,610.45
608.51,610.41
608.31,610.37
608.31,610.33
607.44,610.27
607.44,610.21
607.44,610.15
613.28,610.22
613.28,610.28
609.07,610.26
609.07,610.23
609.07,610.21
608.07,610.16
608.07,610.12
616.85,610.26
616.85,610.40
616.91,610.55
607.72,610.48
607.72,610.42
608.72,610.38
608.72,610.34
612.43,610.39
612.43,610.44
612.43,610.48
607.84,610.42
607.84,610.36
609.82,610.35
609.82,610.34
609.82,610.32
608.18,610.28
608.18,610.23
613.33,610.30
613.33,610.37
610.86,610.38
610.86,610.39
610.86,610.40
607.92,610.35
607.92,610.29
609.09,610.27
609.09,610.24
609.09,610.22
614.38,610.31
614.38,610.39
608.89,610.36
608.89,610.33
608.89,610.30
609.87,610.29
609.87,610.28
607.67,610.23
607.67,610.17
614.16,610.26
614.16,610.34
614.16,610.42
609.75,610.41
609.75,610.39
613.64,610.46
613.64,610.53
613.64,610.59
611.10,610.61
611.10,610.62
610.53,610.61
610.53,610.61
610.53,610.61
609.08,610.58
609.08,610.55
610.81,610.56
610.81,610.56
608.77,610.53
608.77,610.49
608.77,610.46
607.32,610.40
607.32,610.34
610.99,610.36
610.99,610.37
608.69,610.34
608.69,610.31
608.69,610.28
611.20,610.29
611.20,610.31
607.38,610.26
607.38,610.20
607.38,610.15
607.60,610.10
607.60,610.05
609.25,610.04
609.25,610.02
609.31,610.01
609.31,610.00
609.31,609.99
614.90,610.07
614.90,610.16
607.50,610.11
