PACKET,RAW,SKF
422,607.20,610.20
423,607.20,610.13
424,613.42,610.20
425,613.42,610.27
426,613.42,610.34
427,607.75,610.28
428,607.75,610.23
429,607.66,610.17
430,607.66,610.12
431,607.66,610.06
432,610.44,610.07
433,610.44,610.08
434,607.39,610.02
435,607.39,609.97
436,609.75,609.96
437,609.75,609.96
438,609.75,609.95
439,609.13,609.94
440,609.13,609.92
441,607.57,609.87
442,607.57,609.83
443,607.57,609.78
444,610.25,609.79
445,610.25,609.80
446,609.22,609.79
447,609.22,609.78
448,614.21,609.86
449,614.21,609.95
450,614.21,610.03
451,614.37,610.12
452,614.37,610.21
453,607.57,610.15
454,607.57,610.10
455,610.34,610.10
456,610.34,610.11
457,610.34,610.11
458,607.64,610.06
459,607.64,610.01
460,607.71,609.97
461,607.71,609.92
462,610.49,609.93
463,610.49,609.94
464,610.49,609.95
465,607.77,609.91
466,607.77,609.87
467,609.53,609.86
468,609.53,609.86
469,609.53,609.85
470,610.99,609.87
471,610.99,609.89
472,609.07,609.88
473,609.07,609.86
474,609.18,609.85
475,607.67,609.81
476,607.67,609.77
477,607.73,609.74
478,607.73,609.70
479,608.87,609.68
480,608.87,609.67
481,608.87,609.66
482,609.95,609.66
483,609.95,609.67
484,609.02,609.65
485,609.02,609.64
486,609.02,609.63
487,607.57,609.60
488,607.57,609.57
489,607.92,609.54
490,607.92,609.51
491,607.92,609.49
492,608.81,609.47
493,608.81,609.46
494,614.06,609.54
495,614.06,609.61
496,607.90,609.58
497,607.90,609.56
498,607.90,609.53
499,613.26,609.59
500,613.26,609.66
501,607.78,609.62
502,607.78,609.59
503,607.78,609.56
504,608.38,609.54
505,608.38,609.52
506,615.44,609.62
507,615.44,609.73
508,615.44,609.83
509,607.79,609.79
510,607.79,609.75
511,609.18,609.74
512,609.18,609.73
513,609.19,609.72
514,609.19,609.71
515,609.19,609.70
516,607.55,609.66
517,607.55,609.62
518,612.41,609.68
519,612.41,609.73
520,612.41,609.78
521,609.05,609.76
522,609.05,609.75
523,616.12,609.87
524,616.12,609.99
525,610.60,610.00
526,610.60,610.01
527,610.60,610.02
528,609.84,610.02
529,609.84,610.02
530,611.30,610.04
531,611.30,610.06
532,611.30,610.09
533,609.87,610.08
534,609.87,610.08
535,609.22,610.06
536,609.22,610.05
537,611.61,610.08
538,611.61,610.10
539,611.61,610.13
540,609.41,610.12
541,609.41,610.10
542,609.75,610.10
543,609.75,610.09
544,609.75,610.09
545,608.44,610.06
546,608.44,610.03
547,613.18,610.08
548,613.18,610.14
549,613.18,610.19
550,617.27,610.31
551,617.27,610.43
552,607.64,610.38
553,607.64,610.33
554,608.90,610.30
555,608.90,610.27
556,608.90,610.25
557,608.90,610.22
558,608.90,610.20
559,608.69,610.17
560,608.69,610.14
561,617.01,610.27
562,617.01,610.40
563,617.01,610.53
564,607.66,610.47
565,607.66,610.41
566,609.08,610.38
567,609.08,610.36
568,609.08,610.33
569,612.52,610.37
570,612.52,610.42
571,609.01,610.39
572,609.01,610.36
573,609.92,610.35
574,609.92,610.34
575,609.92,610.34
576,611.76,610.36
577,611.76,610.39
578,609.56,610.37
579,609.56,610.36
580,609.56,610.34
581,615.86,610.45
582,615.86,610.55
583,607.75,610.50
584,607.75,610.44
585,607.75,610.39
586,614.88,610.48
587,614.88,610.57
588,609.80,610.55
589,609.80,610.54
590,608.51,610.49
591,608.51,610.45
592,608.51,610.41
593,608.31,610.37
594,608.31,610.33
595,607.44,610.27
596,607.44,610.21
597,607.44,610.15
598,613.28,610.22
599,613.28,610.28
600,609.07,610.26
601,609.07,610.23
602,609.07,610.21
603,608.07,610.16
604,608.07,610.12
605,616.85,610.26
606,616.85,610.40
607,616.91,610.55
608,607.72,610.48
609,607.72,610.42
610,608.72,610.38
611,608.72,610.34
612,612.43,610.39
613,612.43,610.44
614,612.43,610.48
615,607.84,610.42
616,607.84,610.36
617,609.82,610.35
618,609.82,610.34
619,609.82,610.32
620,608.18,610.28
621,608.18,610.23
622,613.33,610.30
623,613.33,610.37
624,610.86,610.38
625,610.86,610.39
626,610.86,610.40
627,607.92,610.35
628,607.92,610.29
629,609.09,610.27
630,609.09,610.24
631,609.09,610.22
632,614.38,610.31
633,614.38,610.39
634,608.89,610.36
635,608.89,610.33
636,608.89,610.30
637,609.87,610.29
638,609.87,610.28
639,607.67,610.23
640,607.67,610.17
641,614.16,610.26
642,614.16,610.34
643,614.16,610.42
644,609.75,610.41
645,609.75,610.39
646,613.64,610.46
647,613.64,610.53
648,613.64,610.59
649,611.10,610.61
650,611.10,610.62
651,610.53,610.61
652,610.53,610.61
653,610.53,610.61
654,609.08,610.58
655,609.08,610.55
656,610.81,610.56
657,610.81,610.56
658,608.77,610.53
659,608.77,610.49
660,608.77,610.46
661,607.32,610.40
662,607.32,610.34
663,610.99,610.36
664,610.99,610.37
665,608.69,610.34
666,608.69,610.31
667,608.69,610.28
668,611.20,610.29
669,611.20,610.31
670,607.38,610.26
671,607.38,610.20
672,607.38,610.15
673,607.60,610.10
674,607.60,610.05
675,609.25,610.04
676,609.25,610.02
677,609.31,610.01
678,609.31,610.00
679,609.31,609.99
680,614.90,610.07
681,614.90,610.16
682,607.50,610.11
683,607.50,610.06
684,609.11,610.04
685,609.11,610.03
686,609.11,610.01
687,607.73,609.97
688,607.73,609.92
689,608.40,609.90
690,608.40,609.87
691,608.40,609.84
692,611.08,609.86
693,611.08,609.89
694,607.57,609.84
695,607.57,609.80
696,610.08,609.81
697,610.08,609.81
698,610.08,609.82
699,608.73,609.80
700,608.73,609.78
701,608.25,609.75
702,608.25,609.72
703,608.25,609.70
704,607.74,609.67
705,607.74,609.63
706,609.47,609.63
707,609.47,609.63
708,608.90,609.61
709,608.90,609.60
710,608.90,609.59
711,610.17,609.60
712,610.17,609.61
713,607.74,609.58
714,607.74,609.55
715,607.74,609.52
716,613.81,609.59
717,613.81,609.66
718,607.71,609.63
719,607.71,609.59
720,613.95,609.67
721,613.95,609.74
722,613.95,609.82
723,609.74,609.82
724,609.74,609.82
725,609.86,609.82
726,609.86,609.82
727,609.86,609.82
728,608.23,609.79
729,608.23,609.76
730,607.86,609.73
731,607.86,609.70
732,607.86,609.67
733,608.64,609.65
734,608.64,609.64
735,609.03,609.63
736,609.03,609.62
737,609.03,609.61
738,608.29,609.58
739,608.29,609.56
740,609.90,609.57
741,609.90,609.57
742,607.66,609.54
743,607.66,609.51
744,607.66,609.49
745,612.19,609.53
746,612.19,609.57
747,613.02,609.63
748,613.02,609.68
749,613.02,609.74
750,607.56,609.70
751,607.56,609.66
752,608.73,609.65
753,608.73,609.63
754,608.73,609.62
755,614.34,609.70
756,614.34,609.78
757,607.94,609.74
758,607.94,609.71
759,613.34,609.78
760,613.34,609.84
761,613.34,609.90
762,607.74,609.86
763,607.74,609.82
764,608.86,609.81
765,608.86,609.79
766,608.86,609.77
767,607.67,609.73
768,607.67,609.70
769,608.39,609.67
770,608.39,609.65
771,608.93,609.64
772,608.93,609.62
773,608.93,609.61
774,609.20,609.60
775,609.20,609.60
776,609.30,609.59
777,609.30,609.59
778,609.30,609.58
779,614.30,609.66
780,614.30,609.74
781,609.56,609.73
782,609.56,609.73
783,609.56,609.73
784,607.77,609.70
785,607.77,609.66
786,608.29,609.64
787,608.29,609.62
788,608.86,609.61
789,608.86,609.59
790,608.86,609.58
791,613.66,609.65
792,613.66,609.71
793,607.71,609.68
794,607.71,609.65
795,607.71,609.61
796,611.65,609.65
797,611.65,609.68
798,610.45,609.70
799,610.45,609.71
800,608.36,609.69
801,608.36,609.66
802,608.36,609.64
803,611.88,609.68
804,611.88,609.72
805,607.48,609.68
806,607.48,609.64
807,607.48,609.61
808,609.36,609.60
809,609.36,609.60
810,611.75,609.63
811,611.75,609.67
812,611.75,609.70
813,607.64,609.67
814,607.64,609.63
815,610.64,609.65
816,610.64,609.67
817,607.50,609.63
818,607.50,609.60
819,607.50,609.56
820,613.83,609.63
821,613.83,609.71
822,614.55,609.79
823,614.55,609.88
824,614.55,609.96
825,607.62,609.92
826,607.62,609.87
827,607.78,609.83
828,607.78,609.79
829,607.78,609.76
830,610.40,609.77
831,610.40,609.78
832,610.24,609.79
833,610.24,609.80
834,609.89,609.80
835,609.89,609.80
836,609.89,609.80
837,607.88,609.77
838,607.88,609.74
839,607.76,609.70
840,607.76,609.67
841,608.26,609.64
842,608.26,609.62
843,608.26,609.59
844,612.82,609.65
845,612.82,609.71
846,610.96,609.73
847,610.96,609.75
848,609.55,609.75
849,609.55,609.74
850,609.55,609.74
851,608.95,609.73
852,608.95,609.71
853,608.50,609.69
854,608.50,609.67
855,608.50,609.66
856,608.24,609.63
857,608.24,609.61
858,612.70,609.66
859,612.70,609.71
860,607.64,609.68
861,607.64,609.64
862,607.64,609.61
863,609.70,609.61
864,609.70,609.61
865,610.80,609.63
866,610.80,609.65
867,610.80,609.67
868,608.97,609.66
869,608.97,609.65
870,609.59,609.64
871,609.59,609.64
872,609.59,609.64
873,611.10,609.66
874,611.10,609.69
875,609.00,609.68
876,609.00,609.67
877,614.14,609.73
878,614.14,609.80
879,614.14,609.87
880,607.89,609.84
881,607.89,609.80
882,609.07,609.79
883,609.07,609.78
884,609.22,609.77
885,609.22,609.76
886,609.22,609.75
887,610.06,609.76
888,610.06,609.76
889,613.62,609.82
890,613.62,609.88
891,613.62,609.94
892,607.82,609.90
893,607.82,609.87
894,609.16,609.86
895,609.16,609.85
896,609.16,609.84
897,610.27,609.84
898,610.27,609.85
899,608.17,609.82
900,608.17,609.80
901,611.59,609.83
902,611.59,609.85
903,611.59,609.88
904,609.18,609.87
905,609.18,609.86
906,608.41,609.84
907,608.41,609.82
908,608.08,609.79
909,608.08,609.76
910,608.08,609.74
911,609.37,609.73
912,609.37,609.73
913,608.86,609.71
914,608.86,609.70
915,608.86,609.69
916,607.91,609.66
917,607.91,609.64
918,611.37,609.66
919,611.37,609.69
920,611.37,609.71
921,609.89,609.71
922,609.89,609.72
923,607.85,609.69
924,607.85,609.66
925,610.06,609.67
926,610.06,609.67
927,610.06,609.68
928,612.60,609.72
929,612.60,609.76
930,609.00,609.75
931,609.00,609.74
932,609.00,609.73
933,609.33,609.72
934,609.33,609.72
935,607.93,609.69
936,607.93,609.67
937,609.51,609.67
938,609.51,609.66
939,609.51,609.66
940,609.20,609.66
