RAW,SKF,TIMETAKEN
608.77,609.91,1
609.06,609.9,1
609.06,609.88,1
608.83,609.86,1
608.83,609.84,1
608.83,609.82,1
609.02,609.81,1
609.02,609.79,1
608.92,609.78,1
608.92,609.76,1
608.92,609.75,1
608.63,609.73,1
608.63,609.71,1
608.71,609.69,1
608.71,609.67,1
608.71,609.65,1
608.98,609.64,1
608.98,609.63,1
608.57,609.61,1
608.57,609.6,1
608.57,609.58,1
608.75,609.57,1
608.75,609.55,1
608.87,609.54,1
608.87,609.53,1
608.67,609.52,1
608.67,609.5,1
608.67,609.49,1
608.81,609.48,1
608.81,609.47,1
608.82,609.46,1
608.82,609.45,1
608.82,609.44,1
608.55,609.43,1
608.55,609.41,1
608.53,609.4,1
608.53,609.39,1
608.53,609.38,1
617.72,609.5,1
617.72,609.62,1
608.69,609.61,1
608.69,609.59,1
608.69,609.58,1
608.66,609.56,1
608.66,609.55,1
608.88,609.54,1
608.88,609.53,1
609.01,609.52,1
609.01,609.51,1
609.01,609.5,1
608.82,609.49,1
608.82,609.48,1
608.97,609.48,2
608.97,609.47,1
608.97,609.46,1
608.8,609.45,1
608.8,609.44,1
608.95,609.44,1
608.95,609.43,1
608.95,609.42,1
608.89,609.42,1
608.89,609.41,1
624.33,609.61,1
624.33,609.84,1
624.51,610.09,1
609.14,610.07,1
609.14,610.05,1
608.79,610.03,1
608.79,610.01,1
608.94,609.99,1
608.94,609.97,1
608.94,609.95,1
609.18,609.93,1
609.18,609.92,1
608.89,609.9,1
608.89,609.88,1
608.89,609.87,1
608.82,609.85,1
608.82,609.83,1
608.99,609.82,1
608.99,609.8,1
608.99,609.79,1
609.05,609.78,1
609.05,609.76,1
609.26,609.76,1
609.26,609.75,1
624.61,609.99,1
624.61,610.25,1
624.61,610.55,1
609.12,610.52,1
609.12,610.48,1
608.81,610.45,1
608.81,610.41,1
608.81,610.37,1
609.12,610.35,1
609.12,610.32,1
609.03,610.29,1
609.03,610.26,1
609.03,610.24,1
609.18,610.22,1
609.18,610.19,1
608.7,610.16,1
608.7,610.13,1
608.7,610.1,1
608.98,610.08,1
608.98,610.06,1
608.92,610.04,1
608.92,610.01,1
608.9,609.99,1
608.9,609.97,1
608.9,609.95,1
609.14,609.94,1
609.14,609.92,2
610.53,609.93,1
610.53,609.94,1
610.53,609.95,1
608.77,609.93,1
608.77,609.91,1
