RAW,SKF
607.53,608.00
613.67,608.03
613.67,608.07
607.61,608.06
607.61,608.06
607.65,608.06
607.65,608.06
607.65,608.05
607.84,608.05
607.84,608.05
607.63,608.05
607.63,608.05
607.63,608.04
607.55,608.04
607.55,608.04
607.52,608.03
607.52,608.03
607.52,608.03
607.36,608.02
607.36,608.02
607.63,608.02
607.63,608.02
607.65,608.01
607.65,608.01
607.65,608.01
612.20,608.03
612.20,608.06
607.76,608.06
607.76,608.06
607.76,608.05
607.76,608.05
607.76,608.05
607.61,608.05
607.61,608.05
607.61,608.04
607.61,608.04
607.61,608.04
607.78,608.04
