PACKET,RAW,SKF
488,607.47,607.98
489,607.50,607.97
490,607.50,607.97
491,607.27,607.97
492,607.27,607.96
493,607.27,607.96
494,607.44,607.95
495,607.44,607.95
496,607.39,607.95
497,607.39,607.95
498,607.39,607.94
499,616.03,607.99
500,616.03,608.04
501,607.72,608.04
502,607.72,608.03
503,607.72,608.03
504,607.76,608.03
505,607.76,608.03
506,607.51,608.03
507,607.51,608.02
508,607.79,608.02
509,607.79,608.02
510,607.79,608.02
511,607.68,608.02
512,607.68,608.01
513,607.90,608.01
514,607.90,608.01
515,607.90,608.01
516,607.66,608.01
517,607.66,608.01
518,607.60,608.00
519,607.60,608.00
520,607.60,608.00
521,607.80,608.00
522,607.80,608.00
523,613.84,608.03
524,613.84,608.07
525,607.94,608.07
526,607.94,608.07
527,607.94,608.07
528,607.89,608.07
529,607.89,608.07
530,607.82,608.06
531,607.82,608.06
532,607.82,608.06
533,607.94,608.06
534,607.94,608.06
535,607.80,608.06
536,607.80,608.06
537,607.80,608.05
538,608.02,608.05
539,608.02,608.05
540,607.80,608.05
541,607.80,608.05
542,607.62,608.05
543,607.62,608.05
544,607.62,608.04
545,607.70,608.04
546,607.70,608.04
547,607.87,608.04
548,607.87,608.04
549,607.87,608.04
550,608.08,608.04
551,608.08,608.04
552,607.79,608.03
553,607.79,608.03
554,607.79,608.03
555,607.83,608.03
556,607.83,608.03
557,607.94,608.03
558,607.94,608.03
559,607.94,608.03
560,607.81,608.03
561,607.81,608.03
562,607.73,608.02
563,607.73,608.02
564,607.74,608.02
565,607.74,608.02
566,607.74,608.02
567,607.79,608.02
568,607.79,608.01
569,607.77,608.01
570,607.77,608.01
571,607.77,608.01
572,607.88,608.01
573,607.88,608.01
574,613.16,608.04
575,613.16,608.07
576,613.16,608.10
577,607.79,608.10
578,607.79,608.09
579,607.77,608.09
580,607.77,608.09
581,607.82,608.09
582,607.82,608.09
583,607.82,608.09
584,607.38,608.08
585,607.38,608.08
586,607.83,608.08
587,607.83,608.07
588,607.83,608.07
589,607.73,608.07
590,607.73,608.07
591,607.82,608.07
592,607.82,608.07
593,607.82,608.06
594,607.76,608.06
595,607.76,608.06
596,607.77,608.06
597,607.77,608.06
598,607.77,608.05
599,614.08,608.09
600,614.08,608.13
601,607.78,608.13
602,607.78,608.12
603,607.49,608.12
604,607.49,608.12
605,607.49,608.11
606,607.75,608.11
607,607.75,608.11
608,607.68,608.10
609,607.68,608.10
610,607.68,608.10
611,607.74,608.10
612,607.74,608.09
613,607.76,608.09
614,607.76,608.09
615,607.76,608.09
616,607.74,608.09
617,607.74,608.08
618,607.84,608.08
619,607.84,608.08
620,607.63,608.08
621,607.63,608.07
622,607.63,608.07
623,609.72,608.08
624,609.72,608.09
625,607.85,608.09
626,607.85,608.09
627,607.85,608.09
628,608.03,608.09
629,608.03,608.09
630,607.71,608.08
631,607.71,608.08
632,607.71,608.08
633,607.72,608.08
634,607.72,608.08
635,607.76,608.07
636,607.76,608.07
637,607.76,608.07
638,607.82,608.07
639,607.82,608.07
640,607.76,608.06
641,607.76,608.06
642,607.86,608.06
643,607.86,608.06
644,607.86,608.06
645,607.83,608.06
646,607.83,608.06
647,607.49,608.05
648,607.49,608.05
649,607.49,608.05
650,607.62,608.04
651,607.62,608.04
652,607.48,608.04
653,607.48,608.03
654,607.48,608.03
655,607.58,608.03
656,607.58,608.03
657,607.59,608.02
658,607.59,608.02
659,607.67,608.02
660,607.67,608.02
